Date,Closing_Price
2021-11-21,385.6233
2021-11-22,369.6767
2021-11-23,372
2021-11-25,360.64
2021-11-28,378.9967
2021-11-29,381.5867
2021-11-30,365
2021-12-01,361.5333
2021-12-02,338.3233
2021-12-05,336.3367
2021-12-06,350.5833
2021-12-07,356.32
2021-12-08,334.6
2021-12-09,339.01
2021-12-12,322.1367
2021-12-13,319.5033
2021-12-14,325.33
2021-12-15,308.9733
2021-12-16,310.8567
2021-12-19,299.98
2021-12-20,312.8433
2021-12-21,336.29
2021-12-22,355.6667
2021-12-26,364.6467
2021-12-27,362.8233
2021-12-28,362.0633
2021-12-29,356.78
2021-12-30,352.26
2022-01-02,399.9267
2022-01-03,383.1967
2022-01-04,362.7067
2022-01-05,354.9
2022-01-06,342.32
2022-01-09,352.7067
2022-01-10,354.8
2022-01-11,368.74
2022-01-12,343.8533
2022-01-13,349.87
2022-01-17,343.5033
2022-01-18,331.8833
2022-01-19,332.09
2022-01-20,314.6333
2022-01-23,310
2022-01-24,306.1333
2022-01-25,312.47
2022-01-26,276.3667
2022-01-27,282.1167
2022-01-30,312.24
2022-01-31,310.4167
2022-02-01,301.8867
2022-02-02,297.0467
2022-02-03,307.7733
2022-02-06,302.4467
2022-02-07,307.3333
2022-02-08,310.6667
2022-02-09,301.5167
2022-02-10,286.6667
2022-02-13,291.92
2022-02-14,307.4767
2022-02-15,307.7967
2022-02-16,292.1167
2022-02-17,285.66
2022-02-21,273.8433
2022-02-22,254.68
2022-02-23,266.9233
2022-02-24,269.9567
2022-02-27,290.1433
2022-02-28,288.1233
2022-03-01,293.2967
2022-03-02,279.7633
2022-03-03,279.43
2022-03-06,268.1933
2022-03-07,274.8
2022-03-08,286.3233
2022-03-09,279.4333
2022-03-10,265.1167
2022-03-13,255.4567
2022-03-14,267.2967
2022-03-15,280.0767
2022-03-16,290.5333
2022-03-17,301.7967
2022-03-20,307.0533
2022-03-21,331.3267
2022-03-22,333.0367
2022-03-23,337.9733
2022-03-24,336.88
